2026-2027学年第1学期工作安排表,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
新课程序号,课程名称,周学时,负责人,授课教师,教师工号,教师职称,课程性质,授课语言,校区,听课专业,选课人数,起始周,结束周,排课信息
职业技术教育学院,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CAU430301,专题设计Ⅱ（室内设计）（限室内设计方向）,4,,颜隽,02045,,专业基础课,中文,四平路校区,"2023(建筑学 02015),2023(建筑学(四) 02114)",0,1,16,颜隽(02045) 星期一1-4节 [1-16] 学院专教-C310
CAU441101,专题设计 II（英）,4,,"江嘉玮,翁超","21157,24162",",助理教授（长聘体系）",专业必修课,英语,四平路校区,2023(建筑学(国际班) 02002),0,1,16,"江嘉玮(21157),翁超(24162) 星期四1-4节 [1-16] 学院专教C203"
CAU003801,绿色生活与零能耗建筑,2,,黄子硕,18009,,工程能力与创新思维,中文,四平路校区,,0,1,12,黄子硕(18009) 星期一9-10节 [1-12] 南212
CAU351101,区域和城市空间战略引介（英）,1,,"程遥,沈尧,曹湛,张泽","15156,18093,22026,23175",",副教授,助理教授（长聘体系）,助理教授（长聘体系）",专业选修课,英语,四平路校区,"2024(建筑学(国际班) 02002),2024(城市设计(卓越班) 02025),2025(城乡规划(二学位) 02099)",0,1,8,程遥(15156) 星期三3-4节 [1-4 8] 城规学院B108 张泽(23175) 星期三3-4节 [6] 城规学院B108 沈尧(18093) 星期三3-4节 [5] 城规学院B108 曹湛(22026) 星期三3-4节 [7] 城规学院B108
CAU351201,计算机辅助设计（英）,1,,庞磊,98024,,专业选修课,英语,四平路校区,2024(城市设计(卓越班) 02025),0,1,8,庞磊(98024) 星期四3-4节 [1-8] 北311
CAU450901,城市模型与解释（英）,1,,沈尧,18093,,专业选修课,英语,四平路校区,"2023(城市设计(卓越班) 02025),2023(城乡规划(四) 02096),2025(城乡规划(二学位) 02099)",0,1,8,沈尧(18093) 星期一5-6节 [1-8] 北307
CAU451001,国土空间规划智能规划方法（英）,1,,周新刚,17125,,专业选修课,英语,四平路校区,"2023(城市设计(卓越班) 02025),2023(城乡规划(四) 02096),2025(城乡规划(二学位) 02099)",0,1,8,周新刚(17125) 星期一9-10节 [1-8] 南412
CAU550101,快速城市化进程中的城市可持续交通（英）,1,,刁弥,20135,,专业选修课,英语,四平路校区,"2022(城市设计(卓越班) 02025),2023(建筑学(国际班) 02002),2023(城乡规划(四) 02096)",0,9,16,刁弥(20135) 星期四5-6节 [9-16] 南408
CAU550201,城市住房政策概论（英）,1,,李晴,95501,,专业选修课,英语,四平路校区,"2022(城市设计(卓越班) 02025),2023(建筑学(国际班) 02002),2023(城市设计 02003),2023(建筑学 02015),2023(历史建筑保护工程 02084),2023(风景园林 02094),2023(城乡规划(四) 02096),2023(建筑学(四) 02114),2025(城市设计(二学位) 02005)",0,1,8,李晴(95501) 星期六9-10节 [1-8] 不排教室
CAU004301,文化景观概论,2,,寇怀云,13509,,人文经典与审美素养,中文,四平路校区,,0,1,12,寇怀云(13509) 星期四7-8节 [1-12] 南312
CAU006501,自然保护与公共健康,2,,吴承照,97017,,科学探索与生命关怀,中文,四平路校区,,0,1,12,吴承照(97017) 星期一7-8节 [1-12] 北310
CAU004501,经典住宅赏析,2,,贺永,09084,,人文经典与审美素养,中文,四平路校区,,0,1,12,贺永(09084) 星期一9-10节 [1-12] 南214
CAU351502,绿色建筑性能及其优化设计,2,,石邢,20101,,专业选修课,中文,四平路校区,"2024(建筑类(复合型创新人才实验班) 02009),2024(建筑学 02015),2024(历史建筑保护工程 02084),2024(生物技术(强基计划) 09003),2024(应用物理学(强基计划) 09005)",0,1,16,石邢(20101) 星期三7-8节 [1-16] 北420
CAU342501,总体规划,6,,"朱玮,程遥,陈晨,刘骝,晏龙旭,黄璜,唐伟成,曹湛,刘伯初,张泽,张皓,刘翔,单路,杨婷,钮心毅,高晓昱,陆希刚,刘冰,张尚武","10112,15156,15166,21013,21024,21025,21161,22026,23135,23175,24188,24197,25036,25124,93174,93176,95503,97108,98062","副教授,副教授,长聘教授,预聘副教授,,助理教授（长聘体系）,助理教授（长聘体系）,助理教授（长聘体系）,助理教授（长聘体系）,助理教授（长聘体系）,助理教授（长聘体系）,助理教授（长聘体系）,助理教授（长聘体系）,预聘副教授,教授,讲师,副教授,教授,长聘教授",专业必修课,中文,四平路校区,"2023(城市设计(卓越班) 02025),2023(城乡规划(四) 02096),2025(城乡规划(二学位) 02099)",0,1,16,"朱玮(10112),程遥(15156),陈晨(15166),刘骝(21013),晏龙旭(21024),黄璜(21025),唐伟成(21161),曹湛(22026),刘伯初(23135),张泽(23175),张皓(24188),刘翔(24197),单路(25036),杨婷(25124),钮心毅(93174),高晓昱(93176),陆希刚(95503),刘冰(97108),张尚武(98062) 星期二3-4节 [1-16] 学院教室D310\312\301\303\305 朱玮(10112),程遥(15156),陈晨(15166),刘骝(21013),晏龙旭(21024),黄璜(21025),唐伟成(21161),曹湛(22026),刘伯初(23135),张泽(23175),张皓(24188),刘翔(24197),单路(25036),杨婷(25124),钮心毅(93174),高晓昱(93176),陆希刚(95503),刘冰(97108),张尚武(98062) 星期五1-4节 [1-16] 学院教室D310\312\301\303\305"
CAU351701,建筑评论,2,,"王凯,刘刊,郑时龄,章明","10082,15141,81145,95022","副教授,,教授,教授",专业必修课,中文,四平路校区,"2023(城市设计 02003),2023(建筑类(复合型创新人才实验班) 02009),2023(建筑学 02015),2023(城市设计(卓越班) 02025),2023(历史建筑保护工程 02084),2023(风景园林 02094),2023(城乡规划(四) 02096),2023(建筑学(四) 02114),2023(建筑学(精英班) 09031),2025(建筑学(二学位) 02098)",0,1,16,刘刊(15141) 星期二3-4节 [2-3 10-13 16] 文106 王凯(10082) 星期二3-4节 [8-9 14-15] 文106 郑时龄(81145) 星期二3-4节 [1] 文106 章明(95022) 星期二3-4节 [4-7] 文106
CAU251302,艺术史,2,,胡炜,98723,,专业选修课,中文,四平路校区,"2025(城市设计 02003),2025(领军人才班(智能规划与再生建筑) 02014),2025(建筑学 02015),2025(城乡规划 02036),2025(历史建筑保护工程 02084),2025(风景园林 02094),2025(建筑学(精英班) 09031),2025(历史建筑保护工程(精英班) 09032),2025(风景园林(精英班) 09034)",0,1,16,胡炜(98723) 星期一9-10节 [1-16] 南313
CAU240801,文博专题,2,,朱宇晖,04074,,专业必修课,中文,四平路校区,"2024(建筑学 02015),2025(领军人才班(智能规划与再生建筑) 02014),2025(历史建筑保护工程 02084),2025(建筑学(二学位) 02098)",0,1,16,朱宇晖(04074) 星期四3-4节 [1-16] 北308
CAU351901,建筑特殊构造,1,,胡向磊,05144,,专业选修课,中文,四平路校区,"2024(建筑学 02015),2024(历史建筑保护工程 02084),2025(建筑学(二学位) 02098)",0,1,8,胡向磊(05144) 星期三9-10节 [1-8] 南410
CAU342702,历史建筑形制与工艺,2,,"李浈,周鸣浩,李彦伯,江嘉玮,王雪睿","00061,11162,14022,21157,25051",",副教授,副教授,助理教授（长聘体系）,助理教授（长聘体系）",专业必修课,中文,四平路校区,"2023(建筑类(复合型创新人才实验班) 02009),2024(城市设计 02003),2024(建筑学 02015),2024(历史建筑保护工程 02084),2025(建筑学(二学位) 02098)",0,1,16,李彦伯(14022) 星期三3-4节 [14] 北410 江嘉玮(21157) 星期三3-4节 [13] 北410 李浈(00061) 星期三3-4节 [1-10] 北410 王雪睿(25051) 星期三3-4节 [16] 北410 周鸣浩(11162) 星期三3-4节 [11-12 15] 北410
CAU352101,家具与陈设,2,,颜隽,02045,,专业选修课,中文,四平路校区,"2024(建筑学 02015),2024(历史建筑保护工程 02084)",0,1,16,颜隽(02045) 星期二3-4节 [1-16] 北305
CAU451301,环境控制学,2,,"叶海,莫方朔,黄子硕,吴宇杰","00010,04039,18009,22220",",副教授,副教授,助理教授（长聘体系）",专业选修课,中文,四平路校区,"2023(城市设计 02003),2023(建筑学 02015),2023(城市设计(卓越班) 02025),2023(历史建筑保护工程 02084),2023(城乡规划(四) 02096),2023(建筑学(四) 02114),2023(建筑学(精英班) 09031)",0,1,16,莫方朔(04039) 星期三5-6节 [13-14] 北109 叶海(00010) 星期三5-6节 [1 8-11 15-16] 北109 吴宇杰(22220) 星期三5-6节 [5-7] 北109 黄子硕(18009) 星期三5-6节 [2-4 12] 北109
CAU331301,城市设计原理,2,,王一,02078,,专业基础课,中文,四平路校区,"2023(建筑学 02015),2023(风景园林 02094),2023(建筑学(四) 02114),2024(城市设计 02003),2024(建筑类(复合型创新人才实验班) 02009),2025(建筑学(二学位) 02098)",0,1,16,王一(02078) 星期一9-10节 [1-16] 北201
CAU342802,建筑理论与历史(1),2,,"朱宇晖,李颖春,刘涤宇,周易知,常青","04074,14150,16019,18132,93074","副教授,副教授,,助理教授（原有体系）,教授",专业必修课,中文,四平路校区,"2024(建筑类(复合型创新人才实验班) 02009),2024(建筑学 02015),2024(历史建筑保护工程 02084),2025(建筑学(二学位) 02098)",0,1,16,常青(93074) 星期三5-6节 [1 4-5 7 15] 衷和楼201 刘涤宇(16019) 星期三5-6节 [2-3 8-11 16] 衷和楼201 李颖春(14150) 星期三5-6节 [13-14] 衷和楼201 周易知(18132) 星期三5-6节 [6] 衷和楼201 朱宇晖(04074) 星期三5-6节 [12] 衷和楼201
CAU441201,城市设计概论,2,,"肖扬,尹杰,匡晓明,于一凡,田宝江","13147,21071,94053,96016,98055","长聘教授,预聘副教授,,教授,副教授",专业必修课,中文,四平路校区,"2023(城市设计(卓越班) 02025),2023(风景园林 02094),2023(城乡规划(四) 02096)",0,1,16,肖扬(13147) 星期三1-2节 [8-10] 南208 匡晓明(94053) 星期三1-2节 [1 11-13 16] 南208 于一凡(96016) 星期三1-2节 [6-7] 南208 尹杰(21071) 星期三1-2节 [2-5] 南208 田宝江(98055) 星期三1-2节 [14-15] 南208
CAU430401,地理信息系统,2,,钮心毅,93174,,专业基础课,中文,四平路校区,"2023(城市设计(卓越班) 02025),2023(城乡规划(四) 02096),2025(城乡规划(二学位) 02099)",0,1,16,钮心毅(93174) 星期一3-4节 [1-16] 北322
CAU343301,景观规划设计原理,2,,"周宏俊,翟宇佳,沈洁,刘熬立,章明,李瑞冬,胡玎","13152,14195,15011,92187,95022,99023,99038","副教授,副教授,,讲师,教授,讲师,讲师",专业基础课,中文,四平路校区,"2023(城市设计(卓越班) 02025),2023(城乡规划(四) 02096),2024(建筑类(复合型创新人才实验班) 02009),2024(风景园林 02094),2025(风景园林(二学位) 02016),2025(城乡规划(二学位) 02099)",0,1,16,翟宇佳(14195) 星期三3-4节 [15] 南308 沈洁(15011) 星期三3-4节 [7-12 16] 南308 周宏俊(13152) 星期三3-4节 [5] 南308 胡玎(99038) 星期三3-4节 [13] 南308 李瑞冬(99023) 星期三3-4节 [14] 南308 刘熬立(92187) 星期三3-4节 [2-4] 南308 章明(95022) 星期三3-4节 [1 6] 南308
CAU331401,景观生态学,2,,王云才,03041,,专业基础课,中文,四平路校区,"2023(建筑类(复合型创新人才实验班) 02009),2024(风景园林 02094),2025(风景园林(二学位) 02016)",0,1,16,王云才(03041) 星期三5-6节 [1-16] 南305
CAU343501,中外园林史,2,,"周宏俊,云嘉燕,周向频","13152,23078,97010",",,",专业必修课,中文,四平路校区,"2023(建筑类(复合型创新人才实验班) 02009),2023(城市设计(卓越班) 02025),2023(城乡规划(四) 02096),2024(风景园林 02094)",0,1,16,周宏俊(13152) 星期三7-8节 [8-16双] 南209 周向频(97010) 星期三7-8节 [1-15单] 南209 云嘉燕(23078) 星期三7-8节 [2-6双] 南209
CAU231501,风景资源学,2,,"杨晨,许晓青","15068,17116",",",专业基础课,中文,四平路校区,"2025(城市设计 02003),2025(建筑学 02015),2025(风景园林(二学位) 02016),2025(城乡规划 02036),2025(历史建筑保护工程 02084),2025(风景园林 02094),2025(风景园林(精英班) 09034)",0,1,16,杨晨(15068) 星期三3-4节 [1-3 9-16] 北305 许晓青(17116) 星期三3-4节 [4-8] 北305
CAU457501,空气洁净技术,1,,林忠平,93043,,专业选修课,中文,嘉定校区,2023(建筑环境与能源应用工程 04014),0,1,8,林忠平(93043) 星期三1-2节 [1-8] 安楼A106
CAU458301,蓄能技术,1,,于航,90015,,专业选修课,中文,嘉定校区,2023(建筑环境与能源应用工程 04014),0,1,8,于航(90015) 星期六5-6节 [1-8] 不安排教室
CAU347101,建筑环境学,2,,"苏醒,李峥嵘","13181,97049",",",专业必修课,中英,嘉定校区,2024(建筑环境与能源应用工程 04014),0,1,16,苏醒(13181) 星期三3-4节 [4-16] 诚楼C410B 李峥嵘(97049) 星期三3-4节 [1-3] 诚楼C410B
CAU347102,建筑环境学,2,,"周翔,林忠平","11033,93043",",",专业必修课,中英,嘉定校区,2024(建筑环境与能源应用工程 04014),0,1,16,林忠平(93043) 星期三3-4节 [13-16] 安楼A302 周翔(11033) 星期三3-4节 [1-12] 安楼A302
CAU457401,建筑空气污染控制,1,,曾令杰,23013,,专业选修课,中文,嘉定校区,2023(建筑环境与能源应用工程 04014),0,1,8,曾令杰(23013) 星期三1-2节 [1-8] 安楼A109
CAU458201,热泵技术应用,1,,"周翔,罗茂辉","11033,20129",",",专业选修课,中文,嘉定校区,2023(建筑环境与能源应用工程 04014),0,1,8,周翔(11033) 星期三7-8节 [8] 安楼A107 罗茂辉(20129) 星期三7-8节 [1-7] 安楼A107
CAU458101,建筑能耗模拟,1,,许鹏,10126,,专业选修课,中文,嘉定校区,2023(建筑环境与能源应用工程 04014),0,1,8,许鹏(10126) 星期一3-4节 [1-8] 安楼A110
CAU457901,建筑能源管理与规划,1,,阮应君,08156,,专业选修课,中文,嘉定校区,2023(建筑环境与能源应用工程 04014),0,1,8,阮应君(08156) 星期六7-8节 [1-8] 不安排教室
CAU007101,建筑环境与节能新技术,1,,"周翔,李翠,李峥嵘","11033,17033,97049",",,",工程能力与创新思维,中文,四平路校区,,0,1,8,李峥嵘(97049) 星期一7-8节 [1 5-8] 南120 李翠(17033) 星期一7-8节 [3-4] 南120 周翔(11033) 星期一7-8节 [2] 南120
CAU007102,建筑环境与节能新技术,1,,"周翔,李翠,朱晗","11033,17033,24062",",,",工程能力与创新思维,中文,嘉定校区,,0,1,8,李翠(17033) 星期三7-8节 [3-4] 安楼A304 朱晗(24062) 星期三7-8节 [1 5-8] 安楼A304 周翔(11033) 星期三7-8节 [2] 安楼A304
CAU458401,建筑设施智能化,1,,李铮伟,13165,,专业选修课,中文,嘉定校区,2023(建筑环境与能源应用工程 04014),0,1,8,李铮伟(13165) 星期二3-4节 [1-8] 安楼A114
CAU457801,区域负荷与能源系统优化,1,,阮应君,08156,,专业选修课,中文,嘉定校区,2023(建筑环境与能源应用工程 04014),0,1,8,阮应君(08156) 星期一1-2节 [1-8] 安楼A106
CAU367601,建筑环境学实验,1,,李翠,17033,,实践环节课程,中文,嘉定校区,2024(建筑环境与能源应用工程 04014),0,9,16,李翠(17033) 星期四9-10节 [9-16] 华楼304
CAU457301,建筑环境CFD模拟技术,1,,高军,09173,,专业选修课,中文,嘉定校区,2023(建筑环境与能源应用工程 04014),0,1,8,高军(09173) 星期四3-4节 [1-8] 博楼B101
CAU367101,建筑环境与能源系统测试技术及设备,3,,"马国彬,张雪梅,曹强,陈德珍,明岗","04044,13172,14175,97055,99140",",,,,",实践环节课程,中文,嘉定校区,"2024(能源与动力工程 04024),2024(能源与动力工程(应用化学双学士学位) 04065)",0,1,16,张雪梅(13172) 星期四9-11节 [14] 博楼B114 陈德珍(97055) 星期四9-9节 [11-12] 博楼B114 马国彬(04044) 星期四9-11节 [1-10 15-16] 博楼B114 明岗(99140) 星期四9-11节 [13] 博楼B114 曹强(14175) 星期四10-11节 [12] 博楼B114 陈德珍(97055) 星期四10-11节 [11] 博楼B114
CAU367102,建筑环境与能源系统测试技术及设备,3,,"马国彬,张雪梅,曹强,陈德珍,明岗","04044,13172,14175,97055,99140",",副教授,,,副教授",实践环节课程,中文,嘉定校区,"2024(中德机械工程与机器人(创新实验区) 04004),2024(建筑环境与能源应用工程 04014)",0,1,16,马国彬(04044) 星期一9-11节 [1-10 15-16] 博楼B114 张雪梅(13172) 星期一9-11节 [14] 博楼B114 陈德珍(97055) 星期一9-9节 [11-12] 博楼B114 明岗(99140) 星期一9-11节 [13] 博楼B114 陈德珍(97055) 星期一10-11节 [11] 博楼B114 曹强(14175) 星期一10-11节 [12] 博楼B114
CAU477101,高性能建筑与建成环境,1,,苏醒,13181,,个性化课程,中文,嘉定校区,"2023(中德机械工程与机器人(创新实验区) 04004),2023(建筑环境与能源应用工程 04014),2023(能源与动力工程 04024),2023(能源与动力工程(应用化学双学士学位) 04065)",0,9,16,苏醒(13181) 星期六5-6节 [9-16] 不安排教室
CAU367901,建筑概论与设计,2,,崔哲,14043,,实践环节课程,中文,嘉定校区,2024(建筑环境与能源应用工程 04014),0,1,16,崔哲(14043) 星期三7-8节 [1-16] 安楼A112
CAU237201,工程热力学B,3,,朱晗,24062,,专业基础课,中文,四平路校区,"2025(建筑环境与能源应用工程 02011),2025(建筑环境与能源应用工程(精英班) 09030)",0,1,16,朱晗(24062) 星期五1-3节 [1-16] 学院专教-B214
CAU357101,建筑冷热源,2,,"阮应君,吴妍","08156,18004",",",专业选修课,中文,嘉定校区,2024(建筑环境与能源应用工程 04014),0,1,16,阮应君(08156) 星期五3-4节 [9-16] 安楼A114 吴妍(18004) 星期五3-4节 [1-8] 安楼A114
CAU367501,暖通空调及燃气实验（一）,2,,曹昌盛,16142,,实践环节课程,中文,嘉定校区,2024(建筑环境与能源应用工程 04014),0,9,16,曹昌盛(16142) 星期一5-8节 [9-16] 安楼A307
CAU337101,控制工程基础,2,,李铮伟,13165,,专业基础课,中文,嘉定校区,2024(建筑环境与能源应用工程 04014),0,1,16,李铮伟(13165) 星期二1-2节 [1-16] 安楼A114
CAU337102,控制工程基础,2,,胡雨燕,00028,,专业基础课,中文,嘉定校区,"2024(能源与动力工程 04024),2024(能源与动力工程(应用化学双学士学位) 04065)",0,1,16,胡雨燕(00028) 星期二1-2节 [1-16] 博楼B303
CAU458001,建筑节能综合技术,1,,明岗,99140,,专业选修课,中文,嘉定校区,2023(建筑环境与能源应用工程 04014),0,1,8,明岗(99140) 星期四7-8节 [1-8] 博楼B201
CAU357301,通风工程,2,,刘东,96012,,专业选修课,中文,嘉定校区,2024(建筑环境与能源应用工程 04014),0,1,16,刘东(96012) 星期二3-4节 [1-16] 博楼B402
CAU357302,通风工程,2,,叶蔚,17138,,专业选修课,中英,嘉定校区,2024(建筑环境与能源应用工程 04014),0,1,16,叶蔚(17138) 星期二3-4节 [1-16] 安楼A407
CAU004801,全球景观与园林艺术,2,,邵钰涵,17124,,社会发展与国际视野,中文,四平路校区,,0,1,12,邵钰涵(17124) 星期三7-8节 [1-12] 城规学院B214
CAU430501,专题设计Ⅱ（城市设计）,4,,"蔡永洁,戴颂华,叶宇,张灵珠,庄宇","00093,00117,16154,20012,93048",",,,,",专业基础课,中文,四平路校区,"2023(建筑学 02015),2023(建筑学(四) 02114)",0,1,16,"蔡永洁(00093),戴颂华(00117),叶宇(16154),张灵珠(20012),庄宇(93048) 星期四5-8节 [1-16] 学院专教-D301、D303、D305"
CAU430601,专题设计Ⅱ（住区设计）,4,,"姚栋,周静敏,贺永,司马蕾,朱怡晨,李振宇","08040,08999,09084,13154,23071,89029",",,,,,",专业基础课,中文,四平路校区,"2023(建筑学 02015),2023(建筑学(四) 02114)",0,1,16,"姚栋(08040),周静敏(08999),贺永(09084),司马蕾(13154),朱怡晨(23071),李振宇(89029) 星期四5-8节 [1-16] 学院专教-D307、D309、D311、D313"
CAU441301,生态城市设计,2,,"陈蔚镇,戴代新","03022,05055",",",专业必修课,中文,四平路校区,"2023(城市设计 02003),2025(城市设计(二学位) 02005)",0,1,16,陈蔚镇(03022) 星期一3-4节 [5] 北307 戴代新(05055) 星期一3-4节 [1-4 6-16] 北307
CAU130701,设计中的几何与计算,3,,"孙澄宇,王祥,闫超","05027,21022,21152",",,",专业基础课,中文,四平路校区,"2025(建筑学(二学位) 02098),2025(建筑学(精英班) 09031),2025(历史建筑保护工程(精英班) 09032),2025(城乡规划(精英班) 09033)",0,1,16,王祥(21022) 星期五5-7节 [5-8 11-13] 北129 闫超(21152) 星期五5-7节 [1-4 9-10] 北129 孙澄宇(05027) 星期五5-7节 [14-16] 北129
CAU451501,土地整治和生态修复,1,,"干靓,颜文涛,刘骝","05065,17022,21013",",,预聘副教授",专业选修课,中文,四平路校区,"2023(城市设计(卓越班) 02025),2023(城乡规划(四) 02096),2025(城乡规划(二学位) 02099)",0,9,16,"颜文涛(17022) 星期三3-4节 [10-11] 南205 干靓(05065),颜文涛(17022),刘骝(21013) 星期三3-4节 [15-16] 南205 刘骝(21013) 星期三3-4节 [13] 南205 干靓(05065) 星期三3-4节 [9 12-14双] 南205"
CAU331501,专题设计Ⅰ（环境与建筑设计）,6,,"徐洪涛,宗轩,陈强,胡滨,扈龑喆,李华,董屹,黄林琳,崔哲,范兆祥,董笑笑,陈晓超,谢振宇,戴松茁,张凡,李麟学","00762,01023,05173,05202,10043,11126,11128,12051,14043,25027,25067,25233,88088,94050,94502,96028",",,,,,,,,,,,null,,,,",专业基础课,中文,四平路校区,"2023(建筑学(精英班) 09031),2024(建筑学 02015),2024(历史建筑保护工程 02084),2025(建筑学(二学位) 02098)",0,1,16,"徐洪涛(00762),宗轩(01023),陈强(05173),胡滨(05202),扈龑喆(10043),李华(11126),董屹(11128),黄林琳(12051),崔哲(14043),范兆祥(25027),董笑笑(25067),陈晓超(25233),谢振宇(88088),戴松茁(94050),张凡(94502),李麟学(96028) 星期一7-8节 [1-16] 学院专教-D406、D408、D410、D412、D402、D417、D404、D407 徐洪涛(00762),宗轩(01023),陈强(05173),胡滨(05202),扈龑喆(10043),李华(11126),董屹(11128),黄林琳(12051),崔哲(14043),范兆祥(25027),董笑笑(25067),陈晓超(25233),谢振宇(88088),戴松茁(94050),张凡(94502),李麟学(96028) 星期四1-4节 [1-16] 学院专教-D406、D408、D410、D412、D402、D417、D404、D407"
CAU352801,建筑中的人工智能,2,,姚佳伟,18536,,专业选修课,中文,四平路校区,"2023(建筑学(精英班) 09031),2024(城市设计 02003),2024(建筑类(复合型创新人才实验班) 02009),2024(建筑学 02015),2024(历史建筑保护工程 02084),2024(未来技术班(智慧空间) 09050),2025(城市设计(二学位) 02005)",0,1,16,姚佳伟(18536) 星期二3-4节 [1-16] 北107
CAU430701,住区设计原理,2,,贺永,09084,副教授,专业基础课,中文,四平路校区,"2023(建筑学 02015),2023(建筑学(四) 02114)",0,1,16,贺永(09084) 星期四3-4节 [1-16] 衷和楼203
CAU352901,人本导向绿色基础设施分析(英),2,,陈筝,13156,,专业选修课,英语,四平路校区,"2023(建筑类(复合型创新人才实验班) 02009),2024(城市设计(卓越班) 02025),2024(风景园林 02094),2025(风景园林(二学位) 02016)",0,1,16,陈筝(13156) 星期四7-8节 [1-16] 北305
CAU004901,城市景观阅读,2,,汤众,96501,,人文经典与审美素养,中文,四平路校区,,0,1,12,汤众(96501) 星期三7-8节 [1-12] 北309
CAU005001,联合国视角下的绿色低碳社区设计与治理,2,,"王洪涛,王信","10009,13002",",",社会发展与国际视野,中文,四平路校区,,0,1,12,王洪涛(10009) 星期一9-10节 [9] 南307 王信(13002) 星期一9-10节 [1-8 10-12] 南307
CAU005601,传承与创造：剪纸,3,,"赵思嘉,王珂,卢璐","04073,09124,16112",",,",人文经典与审美素养,中文,四平路校区,,0,1,16,"赵思嘉(04073),王珂(09124),卢璐(16112) 星期一5-7节 [1-16] 学院专教-D楼一楼陶艺室"
CAU005701,数据分析与可视化,2,,李佩娴,23023,,工程能力与创新思维,中文,四平路校区,,0,1,12,李佩娴(23023) 星期三7-8节 [1-12] 北310
CAU331601,数智空间设计（二）多模态空间建构,8,,"刘一歌,柴华,袁烽","23194,25330,96503",",,",专业基础课,中文,四平路校区,2024(建筑类(复合型创新人才实验班) 02009),0,1,16,"刘一歌(23194),柴华(25330),袁烽(96503) 星期一1-4节 [1-16] 学院教室B310 刘一歌(23194),柴华(25330),袁烽(96503) 星期四5-8节 [1-16] 学院教室B310"
CAU430801,数智空间设计（五）计算性景观生态设计,4,,"杨晨,邵钰涵","15068,17124",",",专业必修课,中文,四平路校区,2023(建筑类(复合型创新人才实验班) 02009),0,1,8,"杨晨(15068),邵钰涵(17124) 星期一5-8节 [1-8] 学院教室B312 杨晨(15068),邵钰涵(17124) 星期四1-4节 [1-8] 学院教室B312"
CAU430901,数智空间设计（六）混合现实空间设计,4,,闫超,21152,,专业必修课,中文,四平路校区,2023(建筑类(复合型创新人才实验班) 02009),0,9,16,闫超(21152) 星期一5-8节 [9-16] 学院教室B312 闫超(21152) 星期四1-4节 [9-16] 学院教室B312
CAU343601,建筑智能概论,2,,"杨晨,叶宇,沈尧,姚佳伟,王祥,闫超,刘一歌,柴华,袁烽","15068,16154,18093,18536,21022,21152,23194,25330,96503","副教授,长聘教授,副教授,预聘副教授,助理教授（长聘体系）,助理教授（长聘体系）,,预聘副教授,教授",专业必修课,中文,四平路校区,"2024(城市设计 02003),2024(建筑类(复合型创新人才实验班) 02009),2024(建筑学 02015),2024(城市设计(卓越班) 02025),2024(历史建筑保护工程 02084),2024(未来技术班(智慧空间) 09050),2025(城市设计(二学位) 02005),2025(建筑学(二学位) 02098)",0,1,16,沈尧(18093) 星期四9-10节 [12-13] 北105 袁烽(96503) 星期四9-10节 [1-2 16] 北105 柴华(25330) 星期四9-10节 [6] 北105 杨晨(15068) 星期四9-10节 [14-15] 北105 姚佳伟(18536) 星期四9-10节 [4] 北105 刘一歌(23194) 星期四9-10节 [3 7] 北105 王祥(21022) 星期四9-10节 [5] 北105 闫超(21152) 星期四9-10节 [10-11] 北105 叶宇(16154) 星期四9-10节 [8-9] 北105
CAU354201,绿色低碳城市治理与设计,2,,王信,13002,,专业选修课,中文,四平路校区,2024(建筑学 02015),0,1,16,王信(13002) 星期二1-2节 [1-16] 北208
CAU343701,遗产建筑保护材料学,2,,"戴仕炳,赵沫沙,汤众","07194,22218,96501","研究员（自然科学）,,高级工程师",专业必修课,中文,四平路校区,"2024(建筑学 02015),2024(历史建筑保护工程 02084),2024(生物技术(强基计划) 09003),2024(应用物理学(强基计划) 09005)",0,1,16,赵沫沙(22218) 星期五3-4节 [1-3单 4-6 8-16] 北109 汤众(96501) 星期五3-4节 [7] 北109 戴仕炳(07194) 星期五3-4节 [2] 北109
CAU353501,基于Python的空间分析与建模,1,,晏龙旭,21024,,专业选修课,中文,四平路校区,"2024(建筑类(复合型创新人才实验班) 02009),2024(城市设计(卓越班) 02025),2024(未来技术班(智慧空间) 09050),2025(城乡规划(二学位) 02099)",0,1,8,晏龙旭(21024) 星期一7-8节 [1-8] 北320
CAU005801,人工智能艺术,2,,于幸泽,13191,,人文经典与审美素养,中文,四平路校区,,0,1,12,于幸泽(13191) 星期三9-10节 [1-12] 南210
CAU331901,房屋建筑科学,3,,"叶海,林怡,莫方朔,金倩,黄子硕,柴华","00010,01018,04039,13168,18009,25330",",教授,副教授,副教授,副教授,预聘副教授",专业基础课,中文,四平路校区,2024(智能建造 03005),0,1,16,莫方朔(04039) 星期五1-2节 [7-8] 南108 林怡(01018) 星期五1-2节 [5-6] 南108 柴华(25330) 星期五1-4节 [1] 南108 叶海(00010) 星期五1-2节 [9-10 16] 南108 金倩(13168) 星期五1-2节 [11-15] 南108 黄子硕(18009) 星期五1-2节 [2-4] 南108 莫方朔(04039) 星期五3-4节 [7] 南108 叶海(00010) 星期五3-4节 [9] 南108 金倩(13168) 星期五3-4节 [11-15单] 南108 林怡(01018) 星期五3-4节 [5] 南108 黄子硕(18009) 星期五3-4节 [3] 南108
