2026-2027学年第1学期工作安排表,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
新课程序号,课程名称,周学时,负责人,授课教师,教师工号,教师职称,课程性质,授课语言,校区,听课专业,选课人数,起始周,结束周,排课信息
职业技术教育学院,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ISC450601,当代话题,2,,王琼,11116,,专业选修课,中文,四平路校区,"2023(汉语言(汉语国际教育方向) 13001),2023(汉语言(经贸方向) 13014)",0,1,16,王琼(11116) 星期二3-4节 [1-16] 北309
ISC440901,汉语修辞概述,2,,张占山,06101,,专业必修课,中文,四平路校区,"2023(汉语言(汉语国际教育方向) 13001),2023(汉语言(经贸方向) 13014)",0,1,16,张占山(06101) 星期一5-6节 [1-16] 南420
ISC340701,汉语语法概述,2,,许歆媛,16010,,专业必修课,中文,四平路校区,2024(汉语言(汉语国际教育方向) 13001),0,1,16,许歆媛(16010) 星期三3-4节 [1-16] 南312
ISC210101,中国概况（汉语言）,2,,张占山,06101,,通识必修课,中文,四平路校区,"2025(汉语言(汉语国际教育方向) 13001),2025(汉语言(经贸方向) 13014)",0,1,16,张占山(06101) 星期三1-2节 [1-16] 南214
ISC332001,商务写作（1）,2,,王琼,11116,,专业基础课,中文,四平路校区,2024(汉语言(经贸方向) 13014),0,1,16,王琼(11116) 星期二1-2节 [1-16] 北312
ISC350101,管理学,2,,宗骞,16152,,专业选修课,中文,四平路校区,2024(汉语言(经贸方向) 13014),0,1,16,宗骞(16152) 星期三3-4节 [1-16] 南315
ISC450701,中华文化经典导读,2,,张占山,06101,,专业选修课,中文,四平路校区,"2023(汉语言(汉语国际教育方向) 13001),2023(汉语言(经贸方向) 13014)",0,1,16,张占山(06101) 星期一1-2节 [1-16] 南311
ISC340201,经济时政读与讲,2,,侯文玉,03173,,专业必修课,中文,四平路校区,2024(汉语言(经贸方向) 13014),0,1,16,侯文玉(03173) 星期二3-4节 [1-16] 北312
ISC340101,经贸口语（1）,2,,侯文玉,03173,,专业必修课,中文,四平路校区,2024(汉语言(经贸方向) 13014),0,1,16,侯文玉(03173) 星期三1-2节 [1-16] 南421
ISC230301,中级汉语（1）,8,,李挺,13010,,专业基础课,中文,四平路校区,"2025(汉语言(汉语国际教育方向) 13001),2025(汉语言(经贸方向) 13014)",0,1,16,李挺(13010) 星期一1-4节 [1-16] 南422 李挺(13010) 星期二3-4节 [1-16] 南422 李挺(13010) 星期三3-4节 [1-16] 南422
